Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band,Number of Countries Spoken,GDP Average (Current US $)
Bodo,India,IND,Vulnerable,900000.0,26.7554,92.8674,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Mundari,India,IND,Vulnerable,750000.0,22.3297,86.0449,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Angika,"India, Nepal",IND,Vulnerable,740892.0,24.7451,85.3124,4.184796296296296,29.0,57.13,Moderate Proficiency,2,545871973314.2758
Mandeali,India,IND,Definitely endangered,611930.0,31.4099,76.9921,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Mising,India,IND,Definitely endangered,550000.0,26.9612,94.0539,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Mizo,India,IND,Vulnerable,529000.0,22.9988,92.9223,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Mahasui,India,IND,Definitely endangered,496024.0,31.2738,77.1295,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Karbi,India,IND,Vulnerable,420000.0,26.2934,93.2299,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Ho,India,IND,Vulnerable,400000.0,21.637,86.4404,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kurru,India,IND,Definitely endangered,300000.0,16.6151,81.6284,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kuvi,India,IND,Definitely endangered,300000.0,18.9478,83.5839,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Limbu,"India, Nepal",IND,Definitely endangered,300000.0,27.096,87.7356,4.184796296296296,29.0,57.13,Moderate Proficiency,2,545871973314.2758
Garhwali,India,IND,Vulnerable,279500.0,30.0976,79.1235,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Sora,India,IND,Vulnerable,250000.0,19.1244,83.2104,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Konyak,India,IND,Vulnerable,248000.0,26.9367,95.1745,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Ao,India,IND,Vulnerable,243000.0,26.4361,94.6472,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Malto,India,IND,Definitely endangered,224926.0,23.7853,85.4736,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Irula,India,IND,Vulnerable,200000.0,11.4369,76.5032,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kharia,India,IND,Vulnerable,200000.0,21.8003,85.4956,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Korku,India,IND,Vulnerable,200000.0,20.3034,80.2441,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Thado,India,IND,Vulnerable,191000.0,24.4521,93.2354,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kului,India,IND,Definitely endangered,170770.0,31.4403,77.1487,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Lhota,India,IND,Vulnerable,170000.0,26.1603,94.3725,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
