Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,GDP Average (Current US $)
AUS,18573188486.9526,19648336879.8298,19888005375.742,21501847911.3003,23758539590.0997,25931235300.7056,27261731436.891003,30389741292.418,32657632433.6432,36620002239.8925,41261059469.1455,45138313360.9587,51954439252.3364,63721973094.1704,88809137803.9794,97147343984.7057,104894743476.61699,110174351915.577,118309271373.78699,134679086674.997,149738161559.889,176599326599.327,193721725697.893,176986429574.16898,193194167723.23898,180190994860.781,181977476217.124,189041159343.568,235699941792.78198,299317645142.904,310838014621.008,325358292127.776,324878105052.68,311528948847.667,322201314424.075,367216364716.365,400302731411.229,434568007512.91296,398899138574.239,388395162301.04,415034227218.489,378215090694.43,394486709920.469,466294700058.241,611904253805.662,692641708013.833,745521862833.1841,851962785585.303,1052584601611.46,926448240318.068,1144260547872.81,1394280784777.68,1543411012579.91,1573696522006.77,1464955475993.76,1349034029453.37,1208039015868.39,1323421072479.07,417 Billion
AUT,6592693841.18495,7311749633.36229,7756110210.119659,8374175257.73075,9169983885.71185,9994070615.85997,10887682273.1014,11579431668.9165,12440625312.8685,13582798556.2404,15373005768.7219,17858485956.6031,22059612417.4058,29515467987.912003,35189299985.2768,40059206763.056,42959976068.1138,51545759220.7143,62052258694.2102,73937296654.6577,82058912465.4329,71034228097.4598,71275287327.5793,72121016623.2572,67985345161.9558,69386774474.5943,99036165209.5539,124168442860.253,133339397080.129,133105805928.237,166463386663.439,173794177725.398,195078126346.10602,190379720927.48102,203535242741.838,241038283062.645,237250948791.26602,212790348404.555,218259904401.95602,217185787342.851,196799778883.36102,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.35297,430294287388.31104,400172297860.517,391892746544.69,431120310088.82,409425234155.26294,430068712971.867,441885415805.825,382065930307.97797,390799991147.46796,416595666396.636,169 Billion
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9063444102.23294,8226390167.01853,4970536336.63285,3970953395.51544,3313939553.5418,3052467522.3610396,3176703092.30412,3962735257.21455,4446370371.150229,4581246713.320661,5272617196.045171,5707720390.8515,6235856819.58445,7276013031.96905,8680370408.05943,13245716099.0057,20982986344.3027,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69683935845.2138,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40747792237.9735,25 Billion
BDI,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994962.96296299,165444571.428571,178297142.85714298,183200000.0,190205714.285714,242732571.428571,252842285.714286,246804571.428571,304339839.552146,345263492.063492,420986666.666667,448412753.62318796,547535555.5555559,610225555.5555559,782496666.666667,919726666.666667,969046666.666667,1013222222.22222,1082926304.4647698,987143931.166987,1149979285.77347,1201725497.0657802,1131466494.01101,1082403219.48787,1113924130.41149,1132101252.5181699,1167398478.3459,1083037670.60484,938632612.026359,925030590.1536831,1000428393.8852801,869033856.317093,972896267.915425,893770806.077641,808077223.365746,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.9063,1781455092.0711398,2032135246.5000398,2235820867.8274302,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2959185295.3901896,3172416146.3921,1 Billion
BEL,11658722590.99,12400145221.595,13264015675.3193,14260017387.0492,15960106680.6732,17371457607.9374,18651883472.4808,19992040788.4593,21376353113.475,23710735894.7022,26849148285.599,29981290025.4913,37408591329.8506,47999363071.8278,56333010459.8177,66029748930.5693,71494539498.4326,83283328418.6832,101788475086.461,116938066868.465,127508202372.741,105290614080.834,92588895020.3073,87650915976.3314,83795680815.4147,86730038793.3963,120661220335.922,150194077687.736,163167853538.124,165100094594.595,206430841501.69,211637816538.689,236038384441.656,225924679920.70898,246194938750.904,289567323481.117,281358175895.766,254813599458.728,260601911535.897,260202429149.798,237904919845.21802,237841968680.09,258860436664.784,319002821670.42896,370885026074.0,387365750528.541,409813197842.178,471821105940.323,518625897172.99,484552792442.345,483548031197.108,527008453886.92896,497884216568.867,520925468952.938,530770977633.615,455039563132.776,467545548764.57104,492681283049.248,209 Billion
BEN,226195579.35701,235668222.42998397,236434906.75427002,253927646.475909,269818988.259263,289908720.64862204,302925280.77356404,306222000.407316,326323097.355964,330748211.459737,333627758.154666,335072975.215766,410331900.950531,504376035.716401,554654786.9651071,676870140.341529,698408244.385343,750049739.152238,928843304.783965,1186231265.18417,1405251547.2388198,1291119965.1126199,1267778489.03079,1095348302.91865,1051133927.00009,1045712703.02696,1336102040.71025,1562412030.34838,1620246187.15171,1502294411.46202,1959965243.7626898,1986437859.9034603,1695315305.7030802,2274557914.07481,1598075932.3543198,2169627250.9337897,2361116587.86079,2268301537.65128,2455092582.30927,2689787917.50711,2569186642.86999,2680213931.46472,3054571081.6912,3905366187.87017,4521424807.22519,4803702821.08055,5142380779.44103,5969535131.58016,7132787396.66547,7097198711.6102295,6970240895.498879,7814081155.649879,8152554487.31321,9157355679.70205,9707432015.614408,8291155880.59505,8573159696.6112795,9246696923.66155,3 Billion
BFA,330442817.168859,350247237.11684,379567178.256898,394040749.12567,410321785.631059,422916848.424208,433889831.584706,450753993.17644805,460442864.205949,478298781.545658,458404330.125096,482411278.982439,578595583.975723,674773821.1514161,751133642.647461,939972703.463021,976547572.215824,1131225278.77773,1475584037.28156,1748480982.18517,1928720390.2886899,1775842679.94056,1754450379.2077,1600278756.43589,1459880352.6483,1552493413.98989,2036303381.2014198,2369835438.62393,2616040645.87263,2615588545.68629,3101301780.95067,3135045684.1006,2240264711.54816,2332018010.55341,1895290964.8082898,2379518099.2266,2586550747.0984397,2447669403.89018,2804902723.73145,2993753187.09677,2628920056.1009803,2812845513.57125,3205592289.79773,4205691222.1139603,4838551099.70985,5462709498.45119,5816310157.71765,6771277870.96412,8369637065.40255,8369175126.2531595,8979966766.07232,10724063457.8326,11166063466.5623,11947176341.9966,12377391462.6377,10419303761.3524,10886363726.8422,12322864244.9183,3 Billion
BGD,4274893913.4953604,4817580183.60155,5081413339.78635,5319458351.16235,5386054619.349871,5906636557.00092,6439687598.32325,7253575399.3215,7483685473.51275,8471006100.953991,8992721809.39332,8751842839.79658,6288245866.66667,8086725729.3407,12512460519.7088,19448348073.4565,10117113333.3333,9651149301.8746,13281767142.8571,15565480321.9448,18138049095.6072,20249694002.448,18525399201.5968,17609048821.5488,18920840000.0,22278423076.9231,21774033333.3333,24298032258.0645,26579005760.3486,28781714763.8012,31598341233.559,30957483949.5798,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.47801,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249723862487.36102,49 Billion
BGR,,,,,,,,,,,,,,,,,,,,,19839230769.2308,19870000000.0,19342000000.0,16563666666.6667,17594944444.4444,17155421052.6316,20249294117.6471,28101000000.0,22555941176.4706,21988444444.4444,20632090909.0909,10943548387.0968,10350515463.9175,10829710144.9275,9697416974.16974,13063422619.0476,10109612141.6526,11195612105.357,14942172233.5833,13531969309.4629,13153016530.8718,14075616789.4905,16276456427.5397,20982685981.4163,25957970922.4811,29636617749.8253,34130122490.8613,44411476557.0329,54409138498.3548,51884481410.3931,50610058210.3696,57418414504.0882,53903022339.0276,55555171009.772,56814543481.2102,50201314894.5817,53240950226.2443,58220973782.7715,28 Billion
BHR,,,,,,,,,,,,,,,,,,,,,3072698328.46909,3467819148.93617,3645744680.8510604,3735106382.97872,3905585106.38298,3651861702.1276603,3052393617.0212803,3392021010.6383,3702393617.02128,3863563829.7872295,4229787234.04255,4616223404.255321,4751063829.78723,5200265957.44681,5567553457.44681,5849467819.14894,6101861436.17021,6349202393.617021,6183776595.744679,6621010372.340429,9062906914.89362,8976207712.765959,9632155053.19149,11074822074.4681,13150166755.3191,15968726861.7021,18505053191.4894,21730000000.0,25710877659.5745,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539547872.3404,33387712765.9575,31125851063.8298,32152686170.2128,35307127659.5745,13 Billion
BHS,169803921.568627,190098039.21568602,212254901.96078402,237745098.039216,266666666.66666698,300392156.86274505,340000000.0,390196078.431373,444901960.784314,528137254.901961,538423153.692615,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10627600000.0,10957300000.0,11792300000.0,11838800000.0,12162100000.0,4 Billion
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469.1358,1866572953.7366602,2786045321.63743,3671816504.23851,4116699437.4041,4685729738.56209,5505984455.95855,5748990666.17862,6651226179.01829,8370020196.19158,10596205714.2857,11222953519.4252,12864610993.5219,15778767669.6991,19112739664.4697,17613836209.9581,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16209702863.6235,16911088173.7458,18054854788.5214,11 Billion
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000.0,18000000000.0,17037037037.036999,16280991735.5372,14932024169.1843,13972676840.918001,14756846153.8462,14128408565.7064,15222012660.4232,12138486532.0203,12736856827.9847,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,50874078052.2735,58665088956.0255,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47749057078.1996,54456465472.6162,34 Billion
BLZ,28071888.562228803,29964370.7125857,31856922.8615428,33749405.0118998,36193826.1234775,40069930.0699301,44405594.40559439,47379310.3448276,44910179.6407186,47305389.221556894,53233532.934131704,59207317.07317071,66062500.0,78343558.28220859,103216374.269006,118066298.342541,96905829.5964126,117650000.0,136300000.0,151800000.0,197938222.429283,196089854.656347,182206326.985709,192103185.95532098,214381949.01938,212643742.664706,231638320.535566,281082558.5859,320093360.27245,369133890.704745,412086445.492177,444720750.0,518239100.0,559858250.0,580863700.0,620140400.0,641383800.0,654314350.0,688992450.0,732732350.0,832072450.0,871860600.0,932551850.0,990374050.0,1057845500.0,1114202700.0,1217442150.0,1290542550.0,1368625150.0,1335217500.0,1396731700.0,1486595750.0,1563827850.0,1608442150.0,1692955750.0,1762500450.0,1806646250.0,1862614800.0,583 Million
BMU,84466654.0801544,89249986.70071559,94149985.9705588,96366652.3069165,107566650.637987,114339048.96273601,134173373.782802,155102984.621576,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634899968.0,1679900032.0,1820359936.0,1867160064.0,2030749952.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,5414299000.0,5895048000.0,6109928000.0,5806378000.0,5744414000.0,5550771000.0,5537537000.0,5573710000.0,,,,,2 Billion
BOL,373879363.59538597,406684585.719294,444665186.39710194,478805990.083307,539491477.320156,604377104.377104,669191919.1919191,755808080.8080809,857912457.9124581,929629629.6296289,1017003367.0033699,1095622895.6229,1257615644.9793198,1262968515.74213,2100249875.06247,2404697651.1744103,2731984007.9960003,3227436281.85907,3758220889.55522,4421343606.18135,4526916802.61011,5872756933.11582,5587490264.8127,5422440961.87886,6169501037.97622,5377277406.71638,3958338883.2233796,4323623622.1622,4597615562.66594,4715978868.216129,4867582620.20708,5343274311.56789,5643893347.00679,5734676560.92471,5981244886.917,6715220507.05164,7396966657.470541,7925673448.41368,8497545598.08352,8285075872.27307,8397912509.09679,8141537937.61068,7905485216.17852,8082364868.39357,8773451738.911291,9549077869.1065,11451845341.1964,13120107688.0213,16674276951.8822,17339992165.2422,19649724655.4886,23963162983.7987,27084497539.7974,30659338929.0883,32996187988.4226,33000198263.3864,33941126193.9219,37508642112.8799,9 Billion
BRA,15165569912.5199,15236854859.469,19926293839.0163,23021477292.2093,21211892259.9904,21790035117.19,27062716577.9111,30591834053.9653,33875881876.3672,37458898243.8609,42327600098.2412,49204456700.4516,58539008786.3684,79279057730.82901,105136007528.76,123709376567.89,152678020452.829,176171284311.76102,200800891870.16397,224969488835.18103,235024598983.26102,263561088977.129,281682304161.041,203304515490.795,209023912696.839,222942790435.29898,268137224729.722,294084112392.66,330397381998.489,425595310000.0,461951782000.0,602860000000.0,400599250000.0,437798577639.752,558111997497.263,769305386182.8491,850426432991.7421,883199625324.675,863723411632.917,599388579985.673,655420645476.906,559372276081.9661,507962487700.024,558319920831.979,669316654017.094,891630175813.342,1107640297889.95,1397084345950.39,1695824571927.15,1667019780934.28,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1793989048409.29,2055505502224.73,659 Billion
BRB,,,,,,,,,,,,,,,311809337.474355,402178605.019554,435911268.58967996,495097667.929041,552883707.055138,670362452.145379,860388803.261572,946949734.002884,989409834.4354401,1050514592.55208,1144931139.06429,1198329438.67151,1315616765.27619,1448714761.59698,1540893949.18709,1703972555.06389,2023318251.8769,2007109829.46353,1950900000.0,2046189031.96937,2151295182.22045,2261969870.23318,2411872918.01323,2549296474.91672,2874459304.9271603,3012081738.17929,3121500000.0,3116650000.0,3169600000.0,3274850000.0,3514350000.0,3897300000.0,4176500000.0,4672250000.0,4782000000.0,4479950000.0,4529900000.0,4660900000.0,4656350000.0,4612500000.0,4608350000.0,4584150000.0,4529050000.0,4673500000.0,3 Billion
BRN,,,,,,114040245.655299,132758395.400497,139030445.576898,160819286.554292,161211289.690318,179080099.30746102,197523179.241883,270818555.823521,433092003.579273,1073577085.64159,1168304305.6551301,1423061356.6456199,1732721160.9412198,1941600703.6059802,2803780005.51826,4928824957.9675,4366213849.57637,4264252336.4486,3844723142.45149,3782523088.4628,3523612563.0653205,2358592817.12134,2754463437.79677,2690717551.18267,2985467979.2852397,3520551724.13793,3701667052.55846,4183548189.07305,4105706151.75145,4087337959.93191,4734020036.68689,5115602836.87943,5197332974.13793,4051147227.53346,4600000000.0,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.004141,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17098342541.4365,12930394937.8137,11400653949.1783,12128089001.5858,6 Billion
BTN,,,,,,,,,,,,,,,,,,,,,135653295.165394,146391639.722864,148934334.038055,165585940.59405902,169264991.197183,172217502.02101898,201375725.614592,253182453.703704,283855833.333333,275949889.09427,299787275.842376,250045839.929639,250794359.567901,235239570.350935,270801565.189672,303053462.843047,316420860.852385,365964500.137703,376955087.251575,419035810.496981,439158233.199822,476360697.18160594,537050133.717342,622026107.7715759,702682018.976169,818869145.124717,897731524.9299221,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.8395398,1958819095.68324,2059809919.89325,2219675780.89539,2528007911.35353,764 Million
BWA,30412308.986401197,32902336.644746,35643207.626524605,38091150.566196,41613969.0506064,45790869.747312605,51464435.1464435,58646443.5146444,66248256.62482571,77356914.0788191,96245114.4611949,126957494.40715902,165258093.875959,244129088.027662,306033848.417954,355172413.793103,372010119.59521604,451603325.41567695,590376720.598889,819877300.613497,1060923829.1302099,1073861599.13948,1014907254.54016,1172258182.1496902,1240796364.75662,1114764007.14811,1392634771.9653,1965274882.36345,2644536804.1124396,3083800684.89751,3790567051.8677797,3942792837.35655,4146513722.3301897,4160086253.1468,4259330999.0315104,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.170779,5484257417.17845,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9931134940.51346,10126940513.3125,10939053365.4786,10945070441.9283,10267133177.7334,12786654365.8738,15351972226.5024,14420393568.8596,14901750764.9811,16250750259.0212,14406496463.6055,15648632361.5749,17406565823.2986,5 Billion
CAF,112155598.949571,123134584.467673,124482748.937917,129379097.888958,142025069.461676,150574816.300764,157930041.875883,163820538.86794698,191767436.956884,188039191.323608,189106554.521277,201450768.367553,230317908.03864303,271183061.359635,281398668.160613,378660016.26593596,451152449.98441106,507298120.68315,610578523.761178,700764892.704831,797048028.773247,694803502.722356,748312283.726758,658679394.907969,637820620.670195,864849765.059664,1122265026.38274,1200991825.95398,1264899368.20165,1233930277.0492198,1440711395.67069,1377375030.5292099,1411917558.45855,1278781166.72188,851174350.6494089,1115389731.7911901,1007791186.2010599,937741468.029676,967338348.6583141,999477510.686632,914500299.097034,931833302.7528571,991387870.1246301,1139754799.16304,1270080250.6526802,1337362392.15225,1460561215.4447,1697565948.6532302,1985240986.18508,1981732633.92013,1986015906.25044,2195599556.7386603,2169706564.05899,1518565298.35641,1702899386.14322,1583776805.9656801,1755468136.86556,1949411659.20453,939 Million
CAN,41093453544.9096,40767969453.696,41978852041.4426,44657169109.22401,48882938810.2204,53909570342.16901,60358632035.1532,64768831262.1761,70759031841.7237,77887510241.7083,87896095224.4234,99271961477.5203,113082820992.019,131321859214.07901,160408697648.262,173834029787.65198,206575564401.62302,211612156934.65,218632867449.81198,243072102185.41898,273853826377.01,306214863624.99,313506525087.136,340547711781.889,355372558103.62103,364756499450.75104,377437927311.983,431316742081.448,507354351182.25397,565055743243.2429,593929550908.468,610328183643.188,592387689252.916,577170761956.438,578139279437.61,604031623433.401,628546387972.131,652825364726.275,631813279406.808,676082654640.91,742293448252.643,736379777892.562,757950678646.53,892380986367.854,1023196003074.56,1169357979864.66,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613464422811.13,1788647906047.76,1824288757447.57,1842628005830.18,1799268695861.8,1559623393038.66,1535767736946.18,1653042795255.04,635 Billion
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256391119870.428,242844938130.722,260069791616.68802,274192522360.46103,311016433454.00397,386483907820.35706,412973333672.7,409177909939.981,447986219961.399,434195569492.628,427831355695.71796,468374571698.775,527421814498.641,634796815766.53,762822028937.769,886221273344.2041,1002357076099.68,1265875985183.35,1529576689684.92,1286274030112.12,1312221268453.82,1445063963266.39,1350943595197.33,1421875004125.78,1464263712669.79,1285887062843.63,1314649428199.32,1454536913148.29,831 Billion
CHE,9522746719.21614,10712712465.0522,11879982758.5619,13063643795.7884,14480556571.5476,15346741669.7575,16480058704.8531,17740013179.26,18942729779.1,20524886616.4789,,,,,,,,,,,119008334606.43301,108993981315.548,111711490075.358,111314328474.108,106285277141.763,107766112124.04901,154482372838.957,193466104144.31302,209298156700.608,202078703955.00897,258066552980.132,261113787377.964,271814366804.153,264353008121.278,292646657673.466,342617007103.594,330091688349.515,286519135326.948,295045152020.968,289912492344.56104,272055499940.786,278631271391.325,301416810214.295,352914820747.011,394163688620.82794,408689353999.35706,430921192375.17896,479913034321.89294,554363487120.303,541506500413.565,583782977866.405,699579638638.2261,668043614122.87,688504173431.454,709182559935.3009,679289166858.236,668745279604.532,678887336848.2521,289 Billion
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677376.61477,6262740656.85164,6439703434.710239,6232906290.4851,6663669064.7482,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,,,,,,,,,,,8 Billion
