Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band
Bhadravahi,"India, Pakistan",IND,Definitely endangered,66918.0,33.5413,76.333,4.184796296296296,28.0,57.13,Moderate Proficiency
Kinnauri,India,IND,Definitely endangered,65097.0,31.541,78.3764,4.184796296296296,28.0,57.13,Moderate Proficiency
Chang,India,IND,Vulnerable,62000.0,26.2934,94.9493,4.184796296296296,28.0,57.13,Moderate Proficiency
Churahi,India,IND,Definitely endangered,61199.0,33.1835,76.5747,4.184796296296296,28.0,57.13,Moderate Proficiency
Nruanghmei,India,IND,Vulnerable,61000.0,24.9661,93.5375,4.184796296296296,28.0,57.13,Moderate Proficiency
Rengma,India,IND,Vulnerable,61000.0,25.958000000000002,94.2462,4.184796296296296,28.0,57.13,Moderate Proficiency
Kachari,India,IND,Definitely endangered,59000.0,25.2844,93.2189,4.184796296296296,28.0,57.13,Moderate Proficiency
Parji,India,IND,Critically endangered,51216.0,18.5629,82.8039,4.184796296296296,28.0,57.13,Moderate Proficiency
Hmar,India,IND,Vulnerable,50000.0,24.576999999999998,93.3178,4.184796296296296,28.0,57.13,Moderate Proficiency
Paite,India,IND,Vulnerable,50000.0,24.1968,93.3563,4.184796296296296,28.0,57.13,Moderate Proficiency
Wancho,India,IND,Vulnerable,49000.0,26.9759,95.4656,4.184796296296296,28.0,57.13,Moderate Proficiency
Bhumji,India,IND,Vulnerable,47000.0,21.8003,86.8139,4.184796296296296,28.0,57.13,Moderate Proficiency
Kheza,India,IND,Vulnerable,41000.0,25.6811,94.367,4.184796296296296,28.0,57.13,Moderate Proficiency
Gutob,India,IND,Vulnerable,40000.0,18.7086,83.5839,4.184796296296296,28.0,57.13,Moderate Proficiency
Minyong,India,IND,Vulnerable,40000.0,28.2632,95.0537,4.184796296296296,28.0,57.13,Moderate Proficiency
Tangsa,India,IND,Vulnerable,40000.0,27.4059,96.427,4.184796296296296,28.0,57.13,Moderate Proficiency
Khiamngan,India,IND,Vulnerable,38000.0,26.0518,95.1031,4.184796296296296,28.0,57.13,Moderate Proficiency
Maram,India,IND,Vulnerable,37000.0,25.185,93.9715,4.184796296296296,28.0,57.13,Moderate Proficiency
Apatani,India,IND,Vulnerable,35000.0,27.5228,93.8177,4.184796296296296,28.0,57.13,Moderate Proficiency
Galo,India,IND,Vulnerable,35000.0,28.1688,94.7433,4.184796296296296,28.0,57.13,Moderate Proficiency
Korwa,India,IND,Vulnerable,35000.0,22.4922,84.1552,4.184796296296296,28.0,57.13,Moderate Proficiency
Liangmai,India,IND,Vulnerable,34000.0,25.2794,93.6694,4.184796296296296,28.0,57.13,Moderate Proficiency
Zeme,India,IND,Vulnerable,34000.0,25.5027,93.5595,4.184796296296296,28.0,57.13,Moderate Proficiency
Nocte,India,IND,Vulnerable,33000.0,27.1618,95.7952,4.184796296296296,28.0,57.13,Moderate Proficiency
Sirmaudi,India,IND,Critically endangered,31144.0,30.9823,77.1569,4.184796296296296,28.0,57.13,Moderate Proficiency
Koch,India,IND,Definitely endangered,31000.0,25.7603,90.3955,4.184796296296296,28.0,57.13,Moderate Proficiency
Tagin,India,IND,Vulnerable,30000.0,28.038,94.2022,4.184796296296296,28.0,57.13,Moderate Proficiency
Mzieme,India,IND,Vulnerable,29000.0,25.6019,93.8891,4.184796296296296,28.0,57.13,Moderate Proficiency
Deori,India,IND,Definitely endangered,28000.0,27.1911,94.1528,4.184796296296296,28.0,57.13,Moderate Proficiency
Gadaba,India,IND,Critically endangered,26262.0,18.3858,82.7819,4.184796296296296,28.0,57.13,Moderate Proficiency
Koda,India,IND,Vulnerable,25000.0,22.1263,87.0776,4.184796296296296,28.0,57.13,Moderate Proficiency
Anal,India,IND,Vulnerable,23000.0,24.1517,93.9385,4.184796296296296,28.0,57.13,Moderate Proficiency
Juang,India,IND,Definitely endangered,23000.0,21.0742,85.6164,4.184796296296296,28.0,57.13,Moderate Proficiency
Tiwa,India,IND,Definitely endangered,23000.0,25.7801,92.5927,4.184796296296296,28.0,57.13,Moderate Proficiency
